,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Battery Performance:,Cabin Size:
139,"$64,244",$475,"$64,720","$67,110","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR66NW153293,NW153293,New,"$64,720",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
140,"$64,244",$475,"$64,720","$67,110","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR64NW153289,NW153289,New,"$64,720",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
141,"$64,497",$475,"$64,973","$66,520","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP6XNW245963,NW245963,New,"$64,973",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
142,"$64,539",$475,"$65,015","$66,280","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW239527,NW239527,New,"$65,015",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
143,"$64,679",$475,"$65,155","$66,435","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW218757,NW218757,New,"$65,155",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
144,"$64,823",$475,"$65,299","$66,595","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR60NW236587,NW236587,New,"$65,299",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
145,"$65,357",$475,"$65,833","$67,475","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW208745,NW208745,New,"$65,833",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
146,"$65,940","$2,065","$68,005","$65,940","Boulder, CO
825 mi away",2 miles,8-Speed Automatic,Yellow (High Velocity Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR66NW193311,G220247,New,"$68,005",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301","2.4 hr charge time, 21 mi range",
147,"$65,624",$475,"$66,100","$68,625","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR61NW234170,NW234170,New,"$66,100",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
148,"$66,133",$475,"$66,609","$68,050","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR61NW220270,NW220270,New,"$66,609",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
149,"$66,136",$475,"$66,612","$68,055","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR62NW222609,NW222609,New,"$66,612",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
150,"$66,703",$475,"$67,179","$68,685","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR66NW233340,NW233340,New,"$67,179",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
151,"$66,726",$475,"$67,202","$68,710","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR62NW259840,NW259840,New,"$67,202",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
152,"$66,798",$475,"$67,274","$68,790","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR65NW183000,NW183000,New,"$67,274",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
153,"$66,918",$475,"$67,394","$70,060","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR62NW191894,NW191894,New,"$67,394",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
154,"$67,935",$308,"$68,243","$67,935","Lamesa, TX
308 mi away",15 miles,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR61NW152861,NW152861,New,"$68,243",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331","2.4 hr charge time, 21 mi range",
155,"$68,090",$475,"$68,566","$70,225","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR66NW214819,NW214819,New,"$68,566",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
156,"$68,287",$475,"$68,763","$70,445","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sarge Green Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW239562,NW239562,New,"$68,763",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
157,"$68,445",$475,"$68,921","$70,620","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW245653,NW245653,New,"$68,921",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
158,"$69,685",,,"$69,685","San Antonio, TX
8 mi away",0 miles,Automatic,Firecracker Red Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR62NW222268,W222268,New,"$69,685",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
159,"$69,952",$475,"$70,428","$72,295","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW233776,NW233776,New,"$70,428",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
160,"$71,182",$475,"$71,658","$73,660","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR69NW249709,NW249709,New,"$71,658",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
161,"$71,817",$475,"$72,293","$74,365","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR64NW158590,NW158590,New,"$72,293",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
162,"$72,351",$475,"$72,827","$74,960","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sarge Green Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW245652,NW245652,New,"$72,827",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
163,"$47,723",,,Not Provided,"Boerne, TX
25 mi away",---,Automatic,Bluprint,Boulder Fabric,"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB4NX012657,22365,New,"$47,723",Tundra,Toyota of Boerne,"31205 I-10 W Boerne, TX 78006",,Large Crew Cab
164,"$49,039",,,Not Provided,"Boerne, TX
25 mi away",---,Automatic,Black,Black (Boulder),"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB8NX011303,22245,New,"$49,039",Tundra,Toyota of Boerne,"31205 I-10 W Boerne, TX 78006",,Large Crew Cab
165,"$48,957",$241,"$49,198","$48,957","Arlington, TX
242 mi away",1 miles,Automatic,Army Green,,"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB3NX111468,B11A468,New,"$49,198",Tundra,Family Toyota of Arlington,"1661 Wet N Wild Way Arlington, TX 76011",,Large Crew Cab
166,"$49,970",,,"$49,970","San Antonio, TX
10 mi away",10 miles,Automatic,Midnight Black,Black (BOULDER),"18 MPG City
24 MPG Highway
20 MPG Combined",389 hp 3.5L V6,4X2,Gasoline,5TFLA5AB1NX012499,NX012499,New,"$49,970",Tundra,North Park Toyota of San Antonio,"10703 S.W. Loop 410 San Antonio, TX 78211",,Large Crew Cab
